Date,vf_GARCH,vf_CPGARCH,vf_ICPGARCH,vf_GJR,vf_CPGJR,vf_ICPGJR,vf_RSGARCH,vf_CPRSGARCH,vf_ICPRSGARCH,vf_HAR,vf_CPHAR,vf_ICPHAR,vf_HAR_a,vf_CPHAR_a,vf_ICPHAR_a
22-Jul-2021,0.00013043659692104,0.000108280467600566,0.000107526232091092,0.000128113461387545,0.000101065266267532,0.000101065266267532,0.000139637120326452,0.000118248395939026,0.000129053979006329,3.74964905672187e-05,3.61972960418624e-05,3.61972960418624e-05,3.83657083509021e-05,3.66366286366994e-05,3.66366286366994e-05
23-Jul-2021,9.73049323496555e-05,0.000108194678654037,7.07311374932571e-05,9.4925673603942e-05,5.59348706441836e-05,5.59348706441836e-05,0.000102573729079225,0.000101074238008137,8.83662691714212e-05,1.88253798072184e-05,1.986117570196e-05,1.986117570196e-05,2.00260762417022e-05,2.15428720144029e-05,2.15428720144029e-05
26-Jul-2021,9.76942746315694e-05,0.00010848758518838,8.01663366860677e-05,8.66335216614508e-05,6.8865014705958e-05,6.8865014705958e-05,0.000107422149721647,9.40204995431493e-05,9.46107769585468e-05,1.95483319413581e-05,2.00209778710148e-05,2.00209778710148e-05,1.76083591254811e-05,1.79139369935278e-05,1.79139369935278e-05
27-Jul-2021,7.45104569605202e-05,0.000107846527756165,5.90040941126842e-05,6.38497663287773e-05,5.41590201887811e-05,5.41590201887811e-05,8.36788061520686e-05,7.51820725999654e-05,7.45560570264604e-05,1.55506009380497e-05,1.60428588273633e-05,1.60428588273633e-05,1.75567822722659e-05,1.83764217019227e-05,1.83764217019227e-05
28-Jul-2021,6.8395698544327e-05,0.00010763493831072,6.04005055643022e-05,6.53217579825643e-05,6.15221782285499e-05,6.15221782285499e-05,7.34945859685212e-05,6.76590699476513e-05,6.79940576184663e-05,1.15365074315587e-05,1.2829573918302e-05,1.2829573918302e-05,1.07806559315244e-05,1.19554064021268e-05,1.19554064021268e-05
29-Jul-2021,5.43308451682435e-05,0.000107358530749586,5.01407033192987e-05,5.16964078057365e-05,5.06749618284256e-05,5.06749618284256e-05,6.04478368695756e-05,5.63046808483185e-05,5.9728606276799e-05,2.51895872431837e-05,2.50451882085644e-05,2.50451882085644e-05,2.50392308479663e-05,2.60361510325638e-05,2.60361510325638e-05
30-Jul-2021,4.65552728631272e-05,0.000107929061218782,4.77661564677747e-05,4.38625456522821e-05,4.67710720557465e-05,4.67710720557465e-05,5.61413206512371e-05,5.50204277447391e-05,5.43189884622881e-05,2.32575313404624e-05,2.26796571509492e-05,2.26796571509492e-05,1.96421524646621e-05,1.90893847301217e-05,1.90893847301217e-05
02-Aug-2021,5.10898781882272e-05,0.000107891562798408,5.78895846085912e-05,5.08446713972214e-05,6.15813461936246e-05,6.15813461936246e-05,5.60155355923093e-05,5.89860586398598e-05,5.69420373521058e-05,1.17156422480369e-05,1.28899182936492e-05,1.28899182936492e-05,1.16987914545629e-05,1.30003142504581e-05,1.30003142504581e-05
03-Aug-2021,4.43257828672023e-05,0.000106651857725222,5.08405792076783e-05,4.38897667463461e-05,5.30907895047756e-05,5.30907895047756e-05,4.72711448903111e-05,5.43317279568461e-05,7.11099363869605e-05,2.00415719533458e-05,2.04023687355713e-05,2.04023687355713e-05,2.28400163704397e-05,2.51684675372543e-05,2.51684675372543e-05
04-Aug-2021,5.12249588459119e-05,0.000106518713562553,6.10473060891735e-05,4.71166582745724e-05,5.52892939869505e-05,5.52892939869505e-05,6.58824058806879e-05,6.78825864792225e-05,6.78913430340899e-05,1.7244728071922e-05,1.83490285659992e-05,1.83490285659992e-05,1.69166523139998e-05,1.86283730471773e-05,1.86283730471773e-05
05-Aug-2021,5.18195817731814e-05,0.000106414817214369,6.02772927526229e-05,5.12766042348364e-05,6.08882189231025e-05,6.08882189231025e-05,5.76893281384234e-05,6.20582030391513e-05,6.21027887066995e-05,2.6626765731987e-05,2.64186139694083e-05,2.64186139694083e-05,2.51659065042352e-05,2.43952131242258e-05,2.43952131242258e-05
06-Aug-2021,4.88426890178983e-05,0.000106218228571992,5.65723192935672e-05,4.61548673716635e-05,5.41009053761024e-05,5.41009053761024e-05,5.87942475379783e-05,6.35833844221674e-05,7.92986169452884e-05,1.44639668947685e-05,1.56640241790641e-05,1.56640241790641e-05,1.75686403921882e-05,2.05492763654235e-05,2.05492763654235e-05
09-Aug-2021,4.00169551810588e-05,0.000105945493619686,4.72362287961161e-05,3.79623283799069e-05,4.61108874595241e-05,4.61108874595241e-05,4.78116200910632e-05,5.53108413524318e-05,5.53464596357874e-05,8.48535592058529e-06,9.89215997635612e-06,9.89215997635612e-06,9.695006037405e-06,1.13785590041567e-05,1.13785590041567e-05
10-Aug-2021,3.50942722400226e-05,0.000105795793786264,4.40894488620615e-05,3.21888217379236e-05,4.33813811161409e-05,4.33813811161409e-05,4.0768692976033e-05,5.05655147767618e-05,5.14329755851353e-05,1.00240370349694e-05,1.1279285299577e-05,1.1279285299577e-05,9.3737697807355e-06,1.05682431985392e-05,1.05682431985392e-05
11-Aug-2021,3.02471010093856e-05,0.000105545469272531,4.08943711218807e-05,2.89667758160001e-05,4.02630023270697e-05,4.02630023270697e-05,3.70771966266802e-05,6.96252219159315e-05,4.53364476275226e-05,8.30117151728469e-06,9.53577525316375e-06,9.53577525316375e-06,8.13646150538414e-06,9.56390592978402e-06,9.56390592978402e-06
12-Aug-2021,2.71175127720602e-05,0.000105778045777756,3.96501732643927e-05,2.51597445681209e-05,3.89222092444278e-05,3.89222092444278e-05,3.53722872785738e-05,6.84320650196472e-05,6.30976072089008e-05,1.03197974522007e-05,1.14193297260065e-05,1.14193297260065e-05,9.20727492073977e-06,1.01543343036782e-05,1.01543343036782e-05
13-Aug-2021,2.55772946781842e-05,0.000105067116306342,3.92195564971921e-05,2.3002842340384e-05,3.83072469493843e-05,3.83072469493843e-05,3.49324013592609e-05,6.67246127664339e-05,3.61657601376004e-05,7.63760037747693e-06,8.92249336158879e-06,8.92249336158879e-06,7.39913201803143e-06,8.6572800549973e-06,8.6572800549973e-06
16-Aug-2021,2.33092743473499e-05,0.000105241990049808,3.7595767938335e-05,2.11186116665714e-05,3.6920318343696e-05,3.6920318343696e-05,3.16723041904973e-05,4.84721061290335e-05,5.80242809966456e-05,6.94213464720471e-06,8.21020615246297e-06,8.21020615246297e-06,6.98413686243867e-06,8.28115710209716e-06,8.28115710209716e-06
17-Aug-2021,2.24086276945938e-05,0.000104697266284025,3.70893776273164e-05,2.19634451679913e-05,3.63951591984745e-05,3.63951591984745e-05,3.15445827034615e-05,6.15645848008041e-05,6.02434843320886e-05,7.18574506855557e-06,8.44165451272169e-06,8.44165451272169e-06,6.81935058476833e-06,8.02951958141815e-06,8.02951958141815e-06
